id,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price
38787,Argentina,Capital Federal,Recoleta,3,2,2,94,94,345000
38788,Argentina,Capital Federal,Belgrano,3,2,1,85,83,215000
38789,Argentina,Capital Federal,Belgrano,3,2,2,84,74,343000
38790,Argentina,Capital Federal,Belgrano,3,2,3,127,127,560000
38791,Argentina,Capital Federal,Villa Crespo,2,1,1,53,41,98000
38792,Argentina,Capital Federal,Palermo,3,2,1,92,81,225000
38793,Argentina,Capital Federal,Villa Devoto,2,1,1,,40,120000
38794,Argentina,Capital Federal,Palermo,3,2,2,97,,415000
38795,Argentina,Capital Federal,Recoleta,1,,1,26,23,70000
38796,Argentina,Capital Federal,Belgrano,2,1,1,47,47,105000
38797,Argentina,Capital Federal,Belgrano,1,,1,24,24,69000
38798,Argentina,Capital Federal,San Nicolás,2,1,1,42,,105000
38799,Argentina,Capital Federal,Congreso,,,1,29,29,49000
38800,Argentina,Capital Federal,Villa Urquiza,5,4,2,110,100,270000
38801,Argentina,Capital Federal,Villa Urquiza,5,4,2,94,80,275000
38802,Argentina,Capital Federal,Palermo,5,4,3,226,210,970000
38803,Argentina,Capital Federal,Parque Chacabuco,4,3,2,,,239000
38804,Argentina,Capital Federal,Puerto Madero,4,3,4,,185,1250000
38805,Argentina,Capital Federal,Villa Devoto,4,3,2,94,90,230000
38806,Argentina,Capital Federal,Barrio Norte,4,3,2,115,110,330000
38807,Argentina,Capital Federal,Barrio Norte,2,1,1,34,34,98000
38808,Argentina,Capital Federal,Nuñez,1,,,30,23,75000
38809,Argentina,Capital Federal,Puerto Madero,4,3,3,253,,1700000
38810,Argentina,Capital Federal,Barrio Norte,2,1,1,54,42,163000
38811,Argentina,Capital Federal,Belgrano,6,4,3,179,166,585000
38812,Argentina,Capital Federal,Barrio Norte,2,1,1,42,37,105000
38813,Argentina,Capital Federal,Barrio Norte,2,1,1,49,42,149000
38814,Argentina,Capital Federal,Monserrat,2,1,1,48,44,69878
38815,Argentina,Capital Federal,Caballito,2,1,1,51,43,119000
38816,Argentina,Capital Federal,Caballito,2,1,1,44,42,95000
38817,Argentina,Capital Federal,Parque Patricios,4,3,3,150,140,310000
38818,Argentina,Capital Federal,Caballito,2,1,1,49,39,110000
38819,Argentina,Capital Federal,Balvanera,2,1,1,58,34,70000
38820,Argentina,Capital Federal,Balvanera,2,1,1,40,40,88000
38821,Argentina,Capital Federal,Recoleta,2,1,1,83,83,235000
38822,Argentina,Capital Federal,Recoleta,2,1,1,55,47,163500
38823,Argentina,Capital Federal,Belgrano,2,1,1,55,52,147000
38824,Argentina,Capital Federal,Belgrano,2,1,2,50,40,205000
38825,Argentina,Capital Federal,Belgrano,2,1,1,,30,96500
38826,Argentina,Capital Federal,Retiro,1,,1,47,47,73000
38827,Argentina,Capital Federal,Palermo,1,,1,21,21,84000
38828,Argentina,Capital Federal,Palermo,1,1,1,33,28,140000
38829,Argentina,Capital Federal,Palermo,1,,1,42,36,125000
38830,Argentina,Capital Federal,San Nicolás,1,,1,,27,73000
38831,Argentina,Capital Federal,Velez Sarsfield,1,1,1,30,27,67000
38832,Argentina,Capital Federal,Parque Patricios,1,,1,,34,65000
38833,Argentina,Capital Federal,Once,2,1,1,28,28,75000
38834,Argentina,Capital Federal,Villa del Parque,2,1,1,44,44,132000
38835,Argentina,Capital Federal,Nuñez,2,1,1,,40,165000
38836,Argentina,Capital Federal,Belgrano,2,1,1,58,58,230000
38837,Argentina,Capital Federal,Boedo,3,2,1,57,57,130000
38838,Argentina,Capital Federal,Belgrano,4,,,140,130,350000
38839,Argentina,Capital Federal,Belgrano,4,3,3,160,150,725000
38840,Argentina,Capital Federal,Belgrano,4,3,1,91,81,199500
38841,Argentina,Capital Federal,Almagro,4,3,1,75,72,212000
38842,Argentina,Capital Federal,Villa del Parque,3,2,1,79,70,188000
38843,Argentina,Capital Federal,Villa del Parque,3,2,1,79,70,185000
38844,Argentina,Capital Federal,Villa del Parque,3,2,1,85,70,170000
38845,Argentina,Capital Federal,Puerto Madero,3,2,3,,169,900000
38846,Argentina,Capital Federal,Barrio Norte,3,2,2,94,94,345000
38847,Argentina,Capital Federal,Colegiales,3,2,2,77,66,285000
38848,Argentina,Capital Federal,Parque Avellaneda,4,3,1,69,50,79000
38849,Argentina,Capital Federal,Almagro,5,4,2,,114,248000
38850,Argentina,Capital Federal,Palermo,5,4,3,233,215,795000
38851,Argentina,Capital Federal,Belgrano,5,3,2,240,240,780000
38852,Argentina,Capital Federal,Belgrano,5,4,4,197,169,750000
38853,Argentina,Capital Federal,Puerto Madero,5,4,3,266,200,1240000
38854,Argentina,Capital Federal,Palermo,6,4,3,179,166,585000
38855,Argentina,Capital Federal,Recoleta,3,2,1,85,85,170000
38856,Argentina,Capital Federal,Recoleta,3,2,1,53,53,159000
38857,Argentina,Capital Federal,Belgrano,3,2,1,75,72,195000
38858,Argentina,Capital Federal,Belgrano,3,2,1,105,94,170000
38859,Argentina,Capital Federal,Belgrano,3,2,1,90,88,260000
